marker	primer_count	probe_count
Ots_SEXY3-1	3344850	126963
Ots_129170-683	54593	55126
Ots_crRAD17527-58	139265	133971
Ots_110689-218	200427	208948
Ots_pigh-105	242720	239474
Ots_ZR-575	983814	104434
Ots_arp-436	270670	273071
Ots_112208-722	105482	109222
Ots_crRAD35313-66	85090	87636
Ots_u07-25.325	857825	700797
Ots_crRAD36152-44	540569	148000
Ots_crRAD57376-68	544334	600986
Ots_107806-821	426694	448664
Ots_102213-210	180048	187423
Ots_afmid-196	409461	419617
Ots_126619-400	285257	288526
Ots_Est1363	112853	56345
Ots_GPDH-338	137292	141642
Ots_u07-20.332	51401	52468
Ots_crRAD18492-65	42956	30208
Ots_GnRH-271	46520	48519
Ots_129870-55	18610	18991
Ots_108735-302	11434	8815
Ots_u6-75	115547	112068
Ots_AldB1-122	104884	94457
Ots_mybp-85	488338	504840
Ots_110201-363	479624	1730781
Ots_crRAD10447-25	311196	264119
Ots_U2305-63	722038	752100
Ots_S7-1	847355	885855
Ots_127236-62	382235	356803
Ots_102414-395	247510	254600
Ots_96500-180	380325	351587
Ots_SWS1op-182	516459	533376
Ots_124774-477	622747	494824
Ots_117370-471	622725	633629
Ots_u07-53.133	1374399	1401989
Ots_111084b-619	545198	553315
Ots_RAG3	535924	525936
Ots_101119-381	547651	535034
Ots_u07-07.161	530822	399953
Ots_108820-336	549088	562107
Ots_Thio	77820	55513
Ots_P450	275195	285325
Ots_crRAD55475-26	220321	81806
Ots_NFYB-147	451812	405589
Ots_IGF-I.1-76	448038	303639
Ots_105105-613	144557	131326
Ots_u202-161	176299	177142
Ots_102801-308	249929	228317
Ots_myoD-364	2126609	91817
Ots_Hsp90a	198628	207849
Ots_crRAD21115-24	324719	307354
Ots_crRAD36072-29	381623	381169
Ots_crRAD24807-74	468861	257852
Ots_96899-357R	138847	134362
Ots_AldoB4-183	358446	371501
Ots_OTSMTA-SNP1	358400	371140
Ots_NAML12-SNP1	310457	295744
Ots_U2567-104	705009	729205
Ots_GTH2B-550	926578	942804
Ots_crRAD2806-42	668074	589146
Ots_MetA	475679	503073
Ots_hsc71-3'-488	662605	670071
Ots_Cath_D141	1139374	1128119
Ots_110495-380	549437	559852
Ots28_11073102	200435	205494
Ots28_11202863	206178	205668
Ots7_54212944	107131	108779
Ots28_11186543	118876	114977
Ots28_11033282	258149	262565
Ots28_11202400	110135	114318
Ots28_11062192	255647	224967
Ots11_32468959	338955	332012
Ots18_3417174	240820	216791
Ots_CHI06027687_143477	499554	458229
Ots_CHI06035945_4547	530444	538498
Ots_CHI06105101_16717	615548	602978
Ots_CHI06105101_18523	351302	350412
