marker1	marker2	count
Ots10_21244146	Ots_SEXY3-1	2
Ots11_11925999	Ots_105132-200	1
Ots11_32468959	Ots_117370-471	2
Ots11_32468959	Ots_P450-288	1
Ots15_18157381	Ots30_17330452	17
Ots15_18157381	Ots_HFABP-34	4
Ots15_18157381	Ots_OTDESMIN19-SNP1	7
Ots15_18157381	Ots_TLR3	1
Ots17_22360456	Ots28_11205423	11
Ots17_22360456	Ots7_51409415	5
Ots17_885364	Ots_crRAD66330-60	1
Ots18_30099101	Ots_txnip-321	1
Ots18_3417174	Ots_CHI06105101_18523	1
Ots18_3426299	Ots_107806-821	1
Ots18_3426299	Ots_117432-409	1
Ots18_3426299	Ots_GPH-318	4
Ots18_3426299	Ots_crRAD11620-55	1
Ots19_46172133	Ots_HFABP-34	3
Ots19_46172427	Ots_P450-288	1
Ots19_46172427	Ots_crRAD44588-67	1
Ots19_46172427	Ots_mapKpr-151	1
Ots1_72858599	Ots28_11202400	1
Ots1_72858599	Ots_HFABP-34	1
Ots1_72858599	Ots_wenYhap_71572	1
Ots28_11023212	Ots_HFABP-34	2
Ots28_11023212	Ots_P53	1
Ots28_11023212	Ots_crRAD57376-68	3504
Ots28_11033282	Ots_OTDESMIN19-SNP1	1
Ots28_11033282	Ots_mapKpr-151	1
Ots28_11072994	Ots_HFABP-34	21
Ots28_11072994	Ots_stk6-516	1
Ots28_11073102	Ots28_11075348	1
Ots28_11073668	Ots_SWS1op-182	2
Ots28_11075348	Ots_HFABP-34	2
Ots28_11077016	Ots_crRAD57376-68	1
Ots28_11077172	Ots_P53	70
Ots28_11077172	Ots_crRAD255-59	1
Ots28_11077172	Ots_crRAD26165-69	1
Ots28_11077172	Ots_crRAD33491-71	1
Ots28_11077172	Ots_pop5-96	275
Ots28_11077172	Ots_txnip-321	1
Ots28_11095755	Ots28_11072994	1
Ots28_11143508	Ots_myoD-364	5
Ots28_11160599	Ots_108735-302	5
Ots28_11164637	Ots28_11205423	1
Ots28_11201129	Ots_txnip-321	15
Ots28_11202400	Ots18_3426299	19
Ots28_11202400	Ots_CHI06048618_5222	8
Ots28_11202863	Ots_P53	1
Ots28_11205423	Ots18_3426299	1
Ots28_11205423	Ots_crRAD16540-50	4
Ots28_11206740	Ots_HFABP-34	1
Ots28_11207428	Ots28_11070757	1
Ots28_11207428	Ots28_11202863	2
Ots28_11207428	Ots_txnip-321	1
Ots30_17330452	Ots_111681-657	12
Ots30_17330452	Ots_u07-57.120	1
Ots30_17330688	Ots_txnip-321	79
Ots37124_12267397	Ots_110201-363	1
Ots37124_12267397	Ots_111681-657	1
Ots37124_12267397	Ots_CHI06035945_4547	1
Ots37124_12267397	Ots_GPH-318	1
Ots37124_12267397	Ots_HFABP-34	15
Ots37124_12267397	Ots_crRAD23631-48	1
Ots37124_12267397	Ots_crRAD33491-71	2
Ots3_34894254	Ots_128693-461	12
Ots4_40942276	Ots_Myc-366	2
Ots4_41638710	Ots_101704-143	1
Ots4_41638710	Ots_OTDESMIN19-SNP1	1
Ots4_41638710	Ots_crRAD2806-42	1
Ots4_42378741	Ots15_18157381	1
Ots4_42378741	Ots17_1066109_C6	1
Ots4_42378741	Ots17_1488679_C6	2
Ots4_42378741	Ots28_11077576	2
Ots4_42378741	Ots28_11164637	1
Ots4_42378741	Ots28_11205423	1
Ots4_42378741	Ots30_17330688	1
Ots4_42378741	Ots37124_12267397	4
Ots4_42378741	Ots37124_12281207	1
Ots4_42378741	Ots37124_12310649	1
Ots4_42378741	Ots6_33505144	1
Ots4_42378741	Ots_105132-200	1
Ots4_42378741	Ots_106499-70	4
Ots4_42378741	Ots_123921-111	3
Ots4_42378741	Ots_128757-61R	1
Ots4_42378741	Ots_ARNT	25
Ots4_42378741	Ots_CHI06035945_4547	2
Ots4_42378741	Ots_GPH-318	29
Ots4_42378741	Ots_GST-375	18
Ots4_42378741	Ots_HFABP-34	1161
Ots4_42378741	Ots_IGF-I.1-76	4
Ots4_42378741	Ots_MHC2	2
Ots4_42378741	Ots_Ots311-101x	1
Ots4_42378741	Ots_P450-288	15
Ots4_42378741	Ots_P53	3
Ots4_42378741	Ots_TLR3	15
Ots4_42378741	Ots_U2567-104	1
Ots4_42378741	Ots_U5121-34	2
Ots4_42378741	Ots_cgo24-22	6
Ots4_42378741	Ots_crRAD18492-65	2
Ots4_42378741	Ots_crRAD18937-60	1
Ots4_42378741	Ots_crRAD20887-70	1
Ots4_42378741	Ots_crRAD27164-55	2
Ots4_42378741	Ots_crRAD27515-69	1
Ots4_42378741	Ots_crRAD33491-71	12
Ots4_42378741	Ots_crRAD34397-33	1
Ots4_42378741	Ots_crRAD44588-67	9
Ots4_42378741	Ots_crRAD46081-56	1
Ots4_42378741	Ots_crRAD55400-59	2
Ots4_42378741	Ots_crRAD76512-28	9
Ots4_42378741	Ots_crRAD78968-46	1
Ots4_42378741	Ots_pigh-105	1
Ots7_50997124	Ots_107285-93	3
Ots7_50997124	Ots_P53	1
Ots7_53291035	Ots18_3426299	4
Ots9_16115048	Ots_130720-99	3
Ots9_16115048	Ots_Est740	3
Ots9_16115048	Ots_OTDESMIN19-SNP1	3
Ots9_16115048	Ots_u4-92	1
Ots9_28975221	Ots_99550-204	2
Ots9_28975221	Ots_txnip-321	1
Ots_100884-287	Ots11_32418659	1
Ots_100884-287	Ots28_11071377	62
Ots_100884-287	Ots4_41638710	2
Ots_100884-287	Ots_GST-375	1
Ots_100884-287	Ots_HFABP-34	7
Ots_101119-381	Ots_110201-363	2
Ots_101119-381	Ots_pop5-96	1
Ots_101119-381	Ots_txnip-321	3
